experimental_perturbation	cas	verdict	term_id	chebi_name	reason_code	inchikey	identity_evidence	first_seen_batch	last_updated_batch
CGP 52432	139667-74-6	verified	CHEBI:91493	3-[(3,4-dichlorophenyl)methylamino]propyl-(diethoxymethyl)phosphinic acid		GJZVQXWEIYRHBE-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
CGP 53353	145915-60-2	verified	CHEBI:92560	5,6-bis(4-fluoroanilino)isoindole-1,3-dione		RONQPWQYDRPRGG-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
CGP 54626 hydrochloride	149184-21-4	verified	CHEBI:234136	CGP 54626 hydrochloride		ZQCFHOVIXCJPLE-LINSIKMZSA-N	name and CAS resolved independently to the same structure	1	2
CGP 55845	149184-22-5	unverified			chebi_has_only_a_different_form	PXQAIXBYWZBYKJ-LINSIKMZSA-N	the experimental team confirmed the CAS / catalogue product	1	2
CGP 57380	522629-08-9	verified	CHEBI:92749	N3-(4-fluorophenyl)-2H-pyrazolo[3,4-d]pyrimidine-3,4-diamine		UQPMANVRZYYQMD-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
CGP 78608	1135278-54-4	verified	CHEBI:64065	CGP 78608 hydrochloride		MZQQZBPMRPDKTB-JEDNCBNOSA-N	the experimental team confirmed the CAS / catalogue product	1	2
CGP 7930	57717-80-3	verified	CHEBI:93152	2,6-ditert-butyl-4-(3-hydroxy-2,2-dimethylpropyl)phenol		XLWJPQQFJNGUPA-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
CGS 15943	104615-18-1	verified	CHEBI:131351	CGS 15943		MSJODEOZODDVGW-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
CGS 19755	110347-85-8	verified	CHEBI:34973	Selfotel		LPMRCCNDNGONCD-RITPCOANSA-N	name and CAS resolved independently to the same structure	1	2
CGS 20625	111205-55-1	verified	CHEBI:93192	LSM-3520		UBLXQFIFWUEVGJ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
CGS 9343B	109826-27-9	unverified			in_pubchem_not_in_chebi	NGODOSILXOFQPH-BTJKTKAUSA-N	name and CAS resolved independently to the same structure	1	2
CH 223191	301326-22-7	verified	CHEBI:195599	CH-223191		LKTNEXPODAWWFM-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Ch 55	110368-33-7	unverified			chebi_has_only_a_different_form	FOUVTBKPJRMLPE-FMIVXFBMSA-N	name and CAS resolved independently to the same structure	1	2
Chelerythrine chloride	3895-92-9	verified	CHEBI:201466	Chelerythrine chloride		WEEFNMFMNMASJY-UHFFFAOYSA-M	name and CAS resolved independently to the same structure	2	2
Chicago Sky Blue 6B	2610-05-1	unverified			chebi_entry_same_name_different_structure	BPHHNXJPFPEJOF-UHFFFAOYSA-J	name and CAS resolved independently to the same structure	1	2
Chlorisondamine diiodide	96750-66-2	unverified			in_pubchem_not_in_chebi	FPNVAOZHQUJJJQ-UHFFFAOYSA-L	name and CAS resolved independently to the same structure	1	2
Chlormethiazole hydrochloride	6001-74-7	unverified			in_pubchem_not_in_chebi	OFXYKSLKNMTBHK-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
CHR 2797	238750-77-1	verified	CHEBI:95044	(2S)-2-[[(2R)-2-[(1S)-1-hydroxy-2-(hydroxyamino)-2-oxoethyl]-4-methyl-1-oxopentyl]amino]-2-phenylacetic acid cyclopentyl ester		FWFGIHPGRQZWIW-SQNIBIBYSA-N	name and CAS resolved independently to the same structure	1	2
CI 966 hydrochloride	110283-66-4	unverified			in_pubchem_not_in_chebi	NUQWSOWKRTZJTO-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
CI 976	114289-47-3	verified	CHEBI:95040	2,2-dimethyl-N-(2,4,6-trimethoxyphenyl)dodecanamide		WAFNZAURAWBNDZ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Ciglitazone	74772-77-3	verified	CHEBI:64227	ciglitazone		YZFWTZACSRHJQD-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Cilnidipine	132203-70-4	verified	CHEBI:31399	cilnidipine		KJEBULYHNRNJTE-DHZHZOJOSA-N	name and CAS resolved independently to the same structure	1	2
Cilostamide	68550-75-4	verified	CHEBI:92503	N-cyclohexyl-N-methyl-4-[(2-oxo-1H-quinolin-6-yl)oxy]butanamide		UIAYVIIHMORPSJ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Cilostazol	73963-72-1	verified	CHEBI:31401	cilostazol		RRGUKTPIGVIEKM-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Cimaterol	54239-37-1	verified	CHEBI:91807	2-amino-5-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzonitrile		BUXRLJCGHZZYNE-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Cimetidine	51481-61-9	verified	CHEBI:3699	cimetidine		AQIXAKUUQRKLND-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Cinalukast	128312-51-6	verified	CHEBI:126598	cinalukast		BZMKNPGKXJAIDV-VAWYXSNFSA-N	name and CAS resolved independently to the same structure	1	2
Cinanserin hydrochloride	54-84-2	verified	CHEBI:147284	cinanserin hydrochloride		LXGJPDKYMJJWRB-IERUDJENSA-N	name and CAS resolved independently to the same structure	1	2
cis-ACPD	477331-06-9	unverified			in_pubchem_not_in_chebi	DXLSPTHQGVGVTN-ATXZCBKLSA-N	the experimental team supplied the structure as SMILES	1	2
Cisplatin	15663-27-1	verified	CHEBI:27899	cisplatin		LXZZYRPGZAFOLE-UHFFFAOYSA-L	name and CAS resolved independently to the same structure	1	2
CITCO	338404-52-7	unverified			chebi_has_only_a_different_form	ZQWBOKJVVYNKTL-AUEPDCJTSA-N	name and CAS resolved independently to the same structure	1	2
CL 218872	66548-69-4	verified	CHEBI:92018	3-methyl-6-[3-(trifluoromethyl)phenyl]-[1,2,4]triazolo[4,3-b]pyridazine		GUOQUXNJZHGPQF-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Cladribine	4291-63-8	verified	CHEBI:567361	cladribine		PTOAARAWEBMLNO-KVQBGUIXSA-N	name and CAS resolved independently to the same structure	2	2
Clemastine fumarate	14976-57-9	verified	CHEBI:3739	clemastine fumarate		PMGQWSIVQFOFOQ-YKVZVUFRSA-N	name and CAS resolved independently to the same structure	1	2
Clobenpropit dihydrobromide	145231-35-2	verified	CHEBI:64165	clobenpropit dihydrobromide		JIJQPEZAVLJZBO-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Clofarabine	123318-82-1	verified	CHEBI:681569	clofarabine		WDDPHFBMKLOVOX-AYQXTPAHSA-N	name and CAS resolved independently to the same structure	2	2
Clofibric acid	882-09-7	verified	CHEBI:34648	clofibric acid		TXCGAZHTZHNUAI-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Clonidine hydrochloride	4205-91-8	verified	CHEBI:3758	Clonidine hydrochloride		ZNIFSRGNXRYGHF-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Clozapine	5786-21-0	verified	CHEBI:3766	clozapine		QZUDBNBUXVUHMW-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
CMPD-1	41179-33-3	verified	CHEBI:92949	4-[4-(2-fluorophenyl)phenyl]-N-(4-hydroxyphenyl)butanamide		ODYAQBDIXCVKAE-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
CNQX	115066-14-3	verified	CHEBI:34468	6-Cyano-7-nitroquinoxaline-2,3-dione		RPXVIAFEQBNEAX-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
CNQX disodium salt	479347-85-8	unverified			in_pubchem_not_in_chebi	YCXDDPGRZKUGDG-UHFFFAOYSA-L	name and CAS resolved independently to the same structure	1	2
Co 102862	181144-66-1	unverified			chebi_has_only_a_different_form	MHUUDVZSPFRUSK-RQZCQDPDSA-N	name and CAS resolved independently to the same structure	1	2
Colchicine	64-86-8	verified	CHEBI:27882	(S)-colchicine		IAKHMKGGTNLKSZ-INIZCTEOSA-N	name and CAS resolved independently to the same structure	1	2
Compound 401	168425-64-7	unverified			in_pubchem_not_in_chebi	BVRDQVRQVGRNHG-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Compound W	173550-33-9	verified	CHEBI:113561	3,5-bis(4-nitrophenoxy)benzoic acid		JOSXKPZXMVHRKU-UHFFFAOYSA-N	the experimental team confirmed the CAS / catalogue product	1	2
CP 339818 hydrochloride	478341-55-8	unverified			in_pubchem_not_in_chebi	JIRISCAPZWLWCG-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
CPT 11	100286-90-6	verified	CHEBI:5971	irinotecan hydrochloride (anhydrous)		GURKHSYORGJETM-WAQYZQTGSA-N	name and CAS resolved independently to the same structure	1	2
Cromakalim	94470-67-4	unverified			identity_single_source_only	TVZCRIROJQEVOT-LSDHHAIUSA-N	single_source	1	2
Crystal Violet	548-62-9	verified	CHEBI:41688	crystal violet		ZXJXZNDDNMQXFV-UHFFFAOYSA-M	name and CAS resolved independently to the same structure	2	2
CV 1808	53296-10-9	verified	CHEBI:175603	2-Phenylaminoadenosine		SCNILGOVBBRMBK-SDBHATRESA-N	name and CAS resolved independently to the same structure	1	2
Cyanopindolol hemifumarate	69906-86-1	unverified			in_pubchem_not_in_chebi	ZSBITJKBOWVCCI-WXXKFALUSA-N	name and CAS resolved independently to the same structure	1	2
Cyclopiazonic Acid	18172-33-3	verified	CHEBI:22450	(6aR,11aS,11bR)-10-acetyl-11-hydroxy-7,7-dimethyl-2,6,6a,7,11a,11b-hexahydro-9H-pyrrolo[1',2':2,3]isoindolo[4,5,6-cd]indol-9-one		SZINUGQCTHLQAZ-DQYPLSBCSA-N	name and CAS resolved independently to the same structure	1	2
Cyclosporin A	59865-13-3	verified	CHEBI:4031	cyclosporin A		PMATZTZNYRCHOR-CGLBZJNRSA-N	name and CAS resolved independently to the same structure	2	2
Cyclosporine	59865-13-3	verified	CHEBI:4031	cyclosporin A		PMATZTZNYRCHOR-CGLBZJNRSA-N	name and CAS resolved independently to the same structure	2	2
Cyproheptadine hydrochloride	969-33-5	verified	CHEBI:59695	cyproheptadine hydrochloride (anhydrous)		ZPMVNZLARAEGHB-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Cytarabine	147-94-4	verified	CHEBI:28680	cytarabine		UHDGCWIWMRVCDJ-CCXZUQQUSA-N	name and CAS resolved independently to the same structure	2	2
Cytosine-1-beta-D-arabinofuranoside hydrochloride	69-74-9	verified	CHEBI:749710	cytarabine hydrochloride		KCURWTAZOZXKSJ-JBMRGDGGSA-N	name and CAS resolved independently to the same structure	1	2
D 4476	301836-43-1	verified	CHEBI:91448	4-[4-(2,3-dihydro-1,4-benzodioxin-6-yl)-5-(2-pyridinyl)-1H-imidazol-2-yl]benzamide		DPDZHVCKYBCJHW-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
D-64131	74588-78-6	verified	CHEBI:92475	(5-methoxy-1H-indol-2-yl)-phenylmethanone		ICMIJSRDISNKOC-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
D-Alanine	338-69-2	verified	CHEBI:15570	D-alanine		QNAYBMKLOCPYGJ-UWTATZPHSA-N	name and CAS resolved independently to the same structure	1	2
D-AP4	78739-01-2	unverified			in_pubchem_not_in_chebi	DDOQBQRIEWHWBT-GSVOUGTGSA-N	name and CAS resolved independently to the same structure	1	2
D-AP5	79055-68-8	unverified			in_pubchem_not_in_chebi	VOROEQBFPPIACJ-SCSAIBSYSA-M	name and CAS resolved independently to the same structure	1	2
D-AP7	81338-23-0	unverified			in_pubchem_not_in_chebi	MYDMWESTDPJANS-ZCFIWIBFSA-N	name and CAS resolved independently to the same structure	1	2
D-Aspartic acid	1783-96-6	verified	CHEBI:17364	D-aspartic acid		CKLJMWTZIZZHCS-UWTATZPHSA-N	name and CAS resolved independently to the same structure	1	2
D-erythro-Sphingosine (synthetic)	123-78-4	verified	CHEBI:16393	sphingosine		WWUZIQQURGPMPG-KRWOKUGFSA-N	name and CAS resolved independently to the same structure	1	2
D609	83373-60-8	unverified			in_pubchem_not_in_chebi	IGULCCCBGBDZKQ-UHFFFAOYSA-M	name and CAS resolved independently to the same structure	1	2
Dacinostat (LAQ824)	404951-53-7	verified	CHEBI:748566	dacinostat		BWDQBBCUWLSASG-MDZDMXLPSA-N	name and CAS agree; PubChem stereo-duplicate, anchored on the defined side	2	2
Dacinostat_LAQ824	404951-53-7	verified	CHEBI:748566	dacinostat		BWDQBBCUWLSASG-MDZDMXLPSA-N	name and CAS resolved independently to the same structure	1	1
DACTINOMYCIN	50-76-0	verified	CHEBI:27666	actinomycin D		RJURFGZVJUQBHK-IIXSONLDSA-N	name and CAS resolved independently to the same structure	2	2
Daidzein	486-66-8	verified	CHEBI:28197	daidzein		ZQSIJRDFPHDXIC-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Dantrolene, sodium salt	14663-23-1	verified	CHEBI:748253	dantrolene sodium		KSRLIXGNPXAZHD-HAZZGOGXSA-M	name and CAS resolved independently to the same structure	1	2
DAPT	208255-80-5	verified	CHEBI:86193	DAPT		DWJXYEABWRJFSP-XOBRGWDASA-N	name and CAS resolved independently to the same structure	1	2
DAU 5884 hydrochloride	131780-48-8	unverified			in_pubchem_not_in_chebi	FDERDDSQHZRNGC-LIWIJTDLSA-N	name and CAS resolved independently to the same structure	1	2
Daunorubicin hydrochloride	23541-50-6	verified	CHEBI:31456	Daunorubicin hydrochloride		GUGHGUXZJWAIAS-QQYBVWGSSA-N	name and CAS resolved independently to the same structure	2	2
DCA	2156-56-1	verified	CHEBI:748334	sodium dichloroacetate		LUPNKHXLFSSUGS-UHFFFAOYSA-M	the experimental team confirmed the CAS / catalogue product	1	2
DCEBIO	60563-36-2	verified	CHEBI:34662	DCEBIO		LKHRMULASXZCLG-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
DCG IV	147782-19-2	unverified			in_pubchem_not_in_chebi	MATPZHBYOVDBLI-FKNRSBSYSA-N	the experimental team supplied the structure as SMILES	1	2
DCPIB	82749-70-0	verified	CHEBI:91677	4-[(2-butyl-6,7-dichloro-2-cyclopentyl-1-oxo-3H-inden-5-yl)oxy]butanoic acid		KHKGTPJPBOQECW-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Decitabine	2353-33-5	verified	CHEBI:50131	5-aza-2'-deoxycytidine		XAUDJQYHKZQPEU-KVQBGUIXSA-N	name and CAS resolved independently to the same structure	2	2
Decitabine (5-Aza-2'-deoxycytidine; 5-AZA-CdR; NSC 127716)	2353-33-5	verified	CHEBI:50131	5-aza-2'-deoxycytidine		XAUDJQYHKZQPEU-KVQBGUIXSA-N	name and CAS resolved independently to the same structure	1	2
DEGUELIN(-)	522-17-8	verified	CHEBI:4357	deguelin		ORDAZKGHSNRHTD-UXHICEINSA-N	name and CAS resolved independently to the same structure	1	2
Dequalinium dichloride	522-51-0	verified	CHEBI:31466	dequalinium chloride		LTNZEXKYNRNOGT-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	2	2
DESOXYMETASONE	382-67-2	verified	CHEBI:691037	desoximetasone		VWVSBHGCDBMOOT-IIEHVVJPSA-N	name and CAS resolved independently to the same structure	2	2
Dexamethasone	50-02-2	verified	CHEBI:41879	dexamethasone		UREBDLICKHMUKA-CXSFZGCWSA-N	name and CAS resolved independently to the same structure	1	2
Dexrazoxane hydrochloride	1263283-43-7	verified	CHEBI:50224	dexrazoxane hydrochloride		BIFMNMPSIYHKDN-FJXQXJEOSA-N	name and CAS resolved independently to the same structure	1	2
DH 97	220339-00-4	verified	CHEBI:92107	N-[2-[2-(phenylmethyl)-1H-indol-3-yl]ethyl]pentanamide		HDOIPCLEKCEANF-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
DHBP dibromide	6159-05-3	unverified			in_pubchem_not_in_chebi	VRXAJMCFEOESJO-UHFFFAOYSA-L	name and CAS resolved independently to the same structure	1	2
Dibutyryl-cAMP, sodium salt	16980-89-5	verified	CHEBI:31313	Bucladesine sodium		KRBZRVBLIUDQNG-JBVYASIDSA-M	name and CAS resolved independently to the same structure	1	2
Diflucortolone valerate	59130-69-7	verified	CHEBI:31484	Diflucortolone valerate		HHJIUUAMYGBVSD-YTFFSALGSA-N	the experimental team confirmed the compound name	1	2
Dihydroergocristine mesylate	24730-10-7	verified	CHEBI:31490	dihydroergocristine mesylate		SPXACGZWWVIDGR-SPZWACKZSA-N	name and CAS resolved independently to the same structure	1	2
Dihydroergotamine mesylate	6190-39-2	verified	CHEBI:59756	dihydroergotamine mesylate		ADYPXRFPBQGGAH-UMYZUSPBSA-N	name and CAS resolved independently to the same structure	1	2
Dihydroergotoxine mesylate	8067-24-1	verified	CHEBI:181460	Alkergot		YLXBZBPHTNJZQE-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Dihydrokainic acid	52497-36-6	verified	CHEBI:43562	dihydrokainic acid		JQPDCKOQOOQUSC-OOZYFLPDSA-N	name and CAS resolved independently to the same structure	1	2
Dihydrosphingosine	3102-56-5	unverified			cas_and_name_are_different_stereoisomers		stereoisomer_disagreement	1	2
Dilazep dihydrochloride	20153-98-4	verified	CHEBI:31493	dilazep dihydrochloride		VILIWRRWAWKXRW-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Diltiazem hydrochloride	33286-22-5	verified	CHEBI:645509	diltiazem hydrochloride		HDRXZJPWHTXQRI-BHDTVMLSSA-N	name and CAS resolved independently to the same structure	1	2
Dimaprit dihydrochloride	23256-33-9	unverified			in_pubchem_not_in_chebi	XFELLTMDCGRCBW-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Dinaciclib		unverified			identity_single_source_only	PIMQWRZWLQKKBJ-SFHVURJKSA-N	single_source	2	2
Diphenyleneiodonium chloride	4673-26-1	verified	CHEBI:77967	dibenziodolium chloride		FCFZKAVCDNTYID-UHFFFAOYSA-M	name and CAS resolved independently to the same structure	2	2
Dipyridamole	58-32-2	verified	CHEBI:4653	dipyridamole		IZEKFCXSFNUWAM-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Disulfiram	97-77-8	verified	CHEBI:4659	disulfiram		AUZONCFQVSMFAP-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	2	2
DL-AP4	6323-99-5	unverified			in_pubchem_not_in_chebi	DDOQBQRIEWHWBT-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
DL-AP5	76326-31-3	verified	CHEBI:138644	2-amino-5-phosphonopentanoic acid		VOROEQBFPPIACJ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
DL-AP7	85797-13-3	unverified			in_pubchem_not_in_chebi	MYDMWESTDPJANS-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
DL-TBOA	205309-81-5	verified	CHEBI:230819	(3s)-3-(Benzyloxy)-L-Aspartic Acid		BYOBCYXURWDEDS-IUCAKERBSA-N	name and CAS resolved independently to the same structure	1	2
DMAB-anabaseine dihydrochloride	154149-38-9	unverified			in_pubchem_not_in_chebi	DHCNEWWWKHBASC-YNHPUKFJSA-N	name and CAS resolved independently to the same structure	1	2
DMNB	20357-25-9	verified	CHEBI:108597	4,5-dimethoxy-2-nitrobenzaldehyde		YWSPWKXREVSQCA-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
DMP 543	160588-45-4	verified	CHEBI:93560	10,10-bis[(2-fluoro-4-pyridinyl)methyl]-9-anthracenone		MUJBUUDUXGDXLW-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
DMPQ dihydrochloride	1123491-15-5	unverified			in_pubchem_not_in_chebi	YBBAOKYVJCNJIV-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
DNQX	2379-57-9	verified	CHEBI:93492	6,7-dinitro-1,4-dihydroquinoxaline-2,3-dione		RWVIMCIPOAXUDG-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
DNQX disodium salt	1312992-24-7	unverified			in_pubchem_not_in_chebi	GPSBSOYURFUVKJ-UHFFFAOYSA-L	name and CAS resolved independently to the same structure	1	2
Dobutamine hydrochloride	49745-95-1	verified	CHEBI:4671	dobutamine hydrochloride		BQKADKWNRWCIJL-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Domperidone	57808-66-9	verified	CHEBI:31515	domperidone		FGXWKSZFVQUSTL-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Doramectin	117704-25-3	unverified			chebi_entry_same_name_different_structure	QLFZZSKTJWDQOS-YDBLARSUSA-N	name and CAS resolved independently to the same structure	1	2
Doxepin hydrochloride	1229-29-4	verified	CHEBI:4711	Doxepin Hydrochloride		MHNSPTUQQIYJOT-SJDTYFKWSA-N	name and CAS resolved independently to the same structure	1	2
Doxorubicin	23214-92-8	verified	CHEBI:28748	doxorubicin		AOJJSUZBOXZQNB-TZSSRYMLSA-N	name and CAS resolved independently to the same structure	1	2
Doxorubicin hydrochloride	23214-92-8	unverified			cas_and_name_disagree_on_form		form_disagreement	2	2
Doxorubicin hydrochloride	25316-40-9	verified	CHEBI:31522	Doxorubicin hydrochloride		MWWSFMDVAYGXBV-RUELKSSGSA-N	name and CAS resolved independently to the same structure	1	1
DPCPX	102146-07-6	verified	CHEBI:73282	DPCPX		FFBDFADSZUINTG-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
DPN	1428-67-7	verified	CHEBI:63949	2,3-bis(4-hydroxyphenyl)propionitrile		GHZHWDWADLAOIQ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
DPO-1	43077-30-1	verified	CHEBI:93748	[[(1S,2S,5R)-5-methyl-2-propan-2-ylcyclohexyl]-phenylphosphoryl]benzene		BPCNGVCAHAIZEE-COPCDDAFSA-N	name and CAS resolved independently to the same structure	1	2
DR 2313	284028-90-6	unverified			identity_single_source_only	HRYKZAKEAVZGJD-UHFFFAOYSA-N	single_source	1	2
DS2	374084-31-8	unverified			in_pubchem_not_in_chebi	AZKMWHRDICVYEI-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
DTG	97-39-2	verified	CHEBI:92585	1,2-bis(2-methylphenyl)guanidine		OPNUROKCUBTKLF-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
DuP 697	88149-94-4	verified	CHEBI:4720	DuP 697		AJFTZWGGHJXZOB-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
DY131	95167-41-2	verified	CHEBI:228584	DY131		WLKOCYWYAWBGKY-CPNJWEJPSA-N	name and CAS resolved independently to the same structure	1	2
DYCLONINE HYDROCHLORIDE	536-43-6	verified	CHEBI:4725	dyclonine hydrochloride		KNZADIMHVBBPOA-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
EBPC	4450-98-0	verified	CHEBI:190040	Ethyl 1-benzyl-3-hydroxy- 2-oxo[5H]pyrrole-4-carboxylate		IGYRPDIWSYGHMY-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Ebselen	60940-34-3	verified	CHEBI:77543	ebselen		DYEFUKCXAQOFHX-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	2	2
Efaroxan hydrochloride	89197-00-2	unverified			in_pubchem_not_in_chebi	DWOIUCRHVWIHAH-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Efonidipine hydrochloride monoethanolate	111011-76-8	unverified			chebi_has_only_a_different_form	OXVTXPCIJDYQIS-UHFFFAOYSA-N	the experimental team confirmed the CAS / catalogue product	1	2
EHNA hydrochloride	58337-38-5	verified	CHEBI:64139	(2R,3S)-EHNA hydrochloride		VVDXNJRUNJMYOZ-DHXVBOOMSA-N	name and CAS resolved independently to the same structure	1	2
Elacestrant (RAD1901)	722533-56-4	verified	CHEBI:229213	elacestrant		SIFNOOUKXBRGGB-AREMUKBSSA-N	name and CAS resolved independently to the same structure	1	2
Eliprodil	119431-25-3	verified	CHEBI:180651	1-(4-chlorophenyl)-2-[4-(4-fluorobenzyl)piperidin-1-yl]ethanol		GGUSQTSTQSHJAH-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Embelin	550-24-3	verified	CHEBI:4778	embelin		IRSFLDGTOHBADP-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
EMD 386088 hydrochloride	1171123-46-8	unverified			in_pubchem_not_in_chebi	WWSNDUWIZDYGIQ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
EMD 66684	1216884-39-7	unverified			in_pubchem_not_in_chebi	YMFXGXGDHBXTPY-UHFFFAOYSA-N	the experimental team confirmed the CAS / catalogue product	1	2
EMETINE	483-18-1	verified	CHEBI:4781	emetine		AUVVAXYIELKVAI-CKBKHPSWSA-N	name and CAS resolved independently to the same structure	2	2
Entospletinib (GS-9973)	1229208-44-9	verified	CHEBI:755246	entospletinib		XSMSNFMDVXXHGJ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	2	2
Entospletinib_GS-9973	1229208-44-9	verified	CHEBI:755246	entospletinib		XSMSNFMDVXXHGJ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	1
EO 1428	321351-00-2	verified	CHEBI:91468	[4-(2-amino-4-bromoanilino)-2-chlorophenyl]-(2-methylphenyl)methanone		HDCLCHNAEZNGNV-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Epirubicin (IMI 28)	56420-45-2	verified	CHEBI:47898	4'-epidoxorubicin		AOJJSUZBOXZQNB-VTZDEGQISA-N	name and CAS resolved independently to the same structure	2	2
Epirubicin HCl	56390-09-1	verified	CHEBI:232543	epirubicin hydrochloride		MWWSFMDVAYGXBV-FGBSZODSSA-N	name and CAS resolved independently to the same structure	1	2
Eplerenone	107724-20-9	verified	CHEBI:31547	eplerenone		JUKPWJGBANNWMW-VWBFHTRKSA-N	name and CAS resolved independently to the same structure	1	2
ER 27319 maleate	1204480-26-1	verified	CHEBI:231345	ER 27319 maleate		WVUQPGFRFBVJKH-BTJKTKAUSA-N	name and CAS resolved independently to the same structure	1	2
ERYTHROSINE SODIUM	16423-68-0	unverified			chebi_has_only_a_different_form	OALHHIHQOFIMEF-UHFFFAOYSA-N	the experimental team confirmed the CAS / catalogue product	1	2
Etazolate hydrochloride	35838-58-5	verified	CHEBI:749714	etazolate hydrochloride		GQJUGJHJUZSJLZ-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Eticlopride hydrochloride	97612-24-3	unverified			in_pubchem_not_in_chebi	HFJFXXDHVWLIKX-YDALLXLXSA-N	name and CAS resolved independently to the same structure	1	2
Etomidate	33125-97-2	verified	CHEBI:4910	etomidate		NPUKDXXFDDZOKR-LLVKDONJSA-N	name and CAS resolved independently to the same structure	1	2
Etonitazenyl isothiocyanate	85951-65-1	unverified			in_pubchem_not_in_chebi	QIIKEXXYYPDZHL-UHFFFAOYSA-N	name and CAS resolved independently to the same structure	1	2
Etoposide	33419-42-0	verified	CHEBI:4911	etoposide		VJJPUSNTGOMMGY-MRVIYFEKSA-N	name and CAS resolved independently to the same structure	1	2
Evans Blue	314-13-6	verified	CHEBI:82467	Evans blue		ATNOAWAQFYGAOY-UHFFFAOYSA-J	name and CAS resolved independently to the same structure	2	2
Evans Blue tetrasodium salt	314-13-6	verified	CHEBI:82467	Evans blue		ATNOAWAQFYGAOY-UHFFFAOYSA-J	the experimental team confirmed the CAS / catalogue product	1	2
